Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Eif4enif1,EIF4ENIF1,Q9EST3,4ET_MOUSE,Eukaryotic translation initiation factor 4E transporter,2564,NA,TurboID unique,NA,NA,NA
Rspry1,RSPRY1,Q8BVR6,RSPRY_MOUSE,RING finger and SPRY domain-containing protein 1,2541,NA,TurboID unique,NA,NA,NA
Tapbp,TAPBP,Q9R233,TPSN_MOUSE,Tapasin,2535,NA,TurboID unique,NA,NA,NA
Fam189a2,FAM189A2,Q4FZH1,F1892_MOUSE,Protein FAM189A2,2527,NA,TurboID unique,NA,NA,NA
Dbndd2,DBNDD2,Q9CRD4,DBND2_MOUSE,Dysbindin domain-containing protein 2,2509,NA,TurboID unique,NA,NA,NA
Bzw2,BZW2,Q91VK1,BZW2_MOUSE,Basic leucine zipper and W2 domain-containing protein 2,2506,NA,TurboID unique,NA,NA,NA
Mapkapk5,MAPKAPK5,O54992,MAPK5_MOUSE,MAP kinase-activated protein kinase 5,2504,NA,TurboID unique,NA,NA,NA
Unk,UNK,Q8BL48,UNK_MOUSE,RING finger protein unkempt homolog,2489,NA,TurboID unique,NA,NA,NA
Alg13,NA,Q9D8C3,ALG13_MOUSE,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,2488,NA,TurboID unique,NA,NA,NA
Nfatc1,NFATC1,O88942,NFAC1_MOUSE,"Nuclear factor of activated T-cells, cytoplasmic 1",2461,NA,TurboID unique,NA,NA,NA
Sav1,SAV1,Q8VEB2,SAV1_MOUSE,Protein salvador homolog 1,2451,NA,TurboID unique,NA,NA,NA
Dnajc9,DNAJC9,Q91WN1,DNJC9_MOUSE,DnaJ homolog subfamily C member 9,2447,NA,TurboID unique,NA,NA,NA
Fam107b,FAM107B,Q3TGF2,F107B_MOUSE,Protein FAM107B,2446,NA,TurboID unique,NA,NA,NA
Sarg,NA,Q8BI29,SARG_MOUSE,Specifically androgen-regulated gene protein,2445,NA,TurboID unique,NA,NA,NA
Slc22a8,SLC22A8,O88909,S22A8_MOUSE,Solute carrier family 22 member 8,2438,NA,TurboID unique,NA,NA,NA
Uap1,UAP1,Q91YN5,UAP1_MOUSE,UDP-N-acetylhexosamine pyrophosphorylase,2427,NA,TurboID unique,NA,NA,NA
Smurf2,SMURF2,A2A5Z6,SMUF2_MOUSE,E3 ubiquitin-protein ligase SMURF2,2419,NA,TurboID unique,NA,NA,NA
Lrrc49,LRRC49,Q91YK0,LRC49_MOUSE,Leucine-rich repeat-containing protein 49,2402,NA,TurboID unique,NA,NA,NA
Itpkc,ITPKC,Q7TS72,IP3KC_MOUSE,Inositol-trisphosphate 3-kinase C,2400,NA,TurboID unique,NA,NA,NA
Cxadr,CXADR,P97792,CXAR_MOUSE,Coxsackievirus and adenovirus receptor homolog,2377,NA,TurboID unique,NA,NA,NA
Ppp1r1a,PPP1R1A,Q9ERT9,PPR1A_MOUSE,Protein phosphatase 1 regulatory subunit 1A,2377,NA,TurboID unique,NA,NA,NA
Gpatch1,GPATCH1,Q9DBM1,GPTC1_MOUSE,G patch domain-containing protein 1,2373,NA,TurboID unique,NA,NA,NA
Fbxo7,FBXO7,Q3U7U3,FBX7_MOUSE,F-box only protein 7,2361,NA,TurboID unique,NA,NA,NA
Lsg1,LSG1,Q3UM18,LSG1_MOUSE,Large subunit GTPase 1 homolog,2336,NA,TurboID unique,NA,NA,NA
Arhgef28,ARHGEF28,P97433,ARG28_MOUSE,Rho guanine nucleotide exchange factor 28,2333,NA,TurboID unique,NA,NA,NA
Slain2,SLAIN2,Q8CI08,SLAI2_MOUSE,SLAIN motif-containing protein 2,2329,NA,TurboID unique,NA,NA,NA
Slc22a6,SLC22A6,Q8VC69,S22A6_MOUSE,Solute carrier family 22 member 6,2309,NA,TurboID unique,NA,NA,NA
Gorab,GORAB,Q8BRM2,GORAB_MOUSE,RAB6-interacting golgin,2277,NA,TurboID unique,NA,NA,NA
Rab34,RAB34,Q64008,RAB34_MOUSE,Ras-related protein Rab-34,2276,NA,TurboID unique,NA,NA,NA
Fam117b,FAM117B,Q3U3E2,F117B_MOUSE,Protein FAM117B,2273,NA,TurboID unique,NA,NA,NA
Myd88,MYD88,P22366,MYD88_MOUSE,Myeloid differentiation primary response protein MyD88,2272,NA,TurboID unique,NA,NA,NA
Megf8,MEGF8,P60882,MEGF8_MOUSE,Multiple epidermal growth factor-like domains protein 8,2256,NA,TurboID unique,NA,NA,NA
Dusp15,DUSP15,Q8R4V2,DUS15_MOUSE,Dual specificity protein phosphatase 15,2253,NA,TurboID unique,NA,NA,NA
Adam12,ADAM12,Q61824,ADA12_MOUSE,Disintegrin and metalloproteinase domain-containing protein 12,2251,NA,TurboID unique,NA,NA,NA
Snapin,SNAPIN,Q9Z266,SNAPN_MOUSE,SNARE-associated protein Snapin,2243,NA,TurboID unique,NA,NA,NA
Lrrc58,LRRC58,Q3UGP9,LRC58_MOUSE,Leucine-rich repeat-containing protein 58,2228,NA,TurboID unique,NA,NA,NA
Sult1a1,SULT1A1,P52840,ST1A1_MOUSE,Sulfotransferase 1A1,2224,NA,TurboID unique,NA,NA,NA
Mospd2,MOSPD2,Q9CWP6,MSPD2_MOUSE,Motile sperm domain-containing protein 2,2220,NA,TurboID unique,NA,NA,NA
Cux1,CUX1,P53564,CUX1_MOUSE,Homeobox protein cut-like 1,2218,NA,TurboID unique,NA,NA,NA
Nat10,NAT10,Q8K224,NAT10_MOUSE,RNA cytidine acetyltransferase,2217,NA,TurboID unique,NA,NA,NA
Arhgap42,ARHGAP42,B2RQE8,RHG42_MOUSE,Rho GTPase-activating protein 42,2206,NA,TurboID unique,NA,NA,NA
Bloc1s5,BLOC1S5,Q8R015,BL1S5_MOUSE,Biogenesis of lysosome-related organelles complex 1 subunit 5,2194,NA,TurboID unique,NA,NA,NA
Hmbox1,HMBOX1,Q8BJA3,HMBX1_MOUSE,Homeobox-containing protein 1,2183,NA,TurboID unique,NA,NA,NA
Bet1l,BET1L,O35153,BET1L_MOUSE,BET1-like protein,2178,NA,TurboID unique,NA,NA,NA
Sstr2,SSTR2,P30875,SSR2_MOUSE,Somatostatin receptor type 2,2173,NA,TurboID unique,NA,NA,NA
Ano6,ANO6,Q6P9J9,ANO6_MOUSE,Anoctamin-6,2149,NA,TurboID unique,NA,NA,NA
Ncor2,NCOR2,Q9WU42,NCOR2_MOUSE,Nuclear receptor corepressor 2,2144,NA,TurboID unique,NA,NA,NA
Phlpp1,PHLPP1,Q8CHE4,PHLP1_MOUSE,PH domain leucine-rich repeat-containing protein phosphatase 1,2134,NA,TurboID unique,NA,NA,NA
Kirrel2,KIRREL2,Q7TSU7,KIRR2_MOUSE,Kin of IRRE-like protein 2,2125,NA,TurboID unique,NA,NA,NA
Psme3ip1,NA,Q91WE2,PIP30_MOUSE,PSME3-interacting protein,2124,NA,TurboID unique,NA,NA,NA
Rgl1,RGL1,Q60695,RGL1_MOUSE,Ral guanine nucleotide dissociation stimulator-like 1,2115,NA,TurboID unique,NA,NA,NA
Psmd10,PSMD10,Q9Z2X2,PSD10_MOUSE,26S proteasome non-ATPase regulatory subunit 10,2110,NA,TurboID unique,NA,NA,NA
Glrb,GLRB,P48168,GLRB_MOUSE,Glycine receptor subunit beta,2079,NA,TurboID unique,NA,NA,NA
Stk10,STK10,O55098,STK10_MOUSE,Serine/threonine-protein kinase 10,2075,NA,TurboID unique,NA,NA,NA
Tab3,TAB3,Q571K4,TAB3_MOUSE,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,2074,NA,TurboID unique,NA,NA,NA
Mks1,MKS1,Q5SW45,MKS1_MOUSE,Meckel syndrome type 1 protein homolog,2069,NA,TurboID unique,NA,NA,NA
Rhbdl1,RHBDL1,Q8VC82,RHBL1_MOUSE,Rhomboid-related protein 1,2068,NA,TurboID unique,NA,NA,NA
Bbs1,BBS1,Q3V3N7,BBS1_MOUSE,Bardet-Biedl syndrome 1 protein homolog,2051,NA,TurboID unique,NA,NA,NA
Dus2,DUS2,Q9D7B1,DUS2L_MOUSE,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,2047,NA,TurboID unique,NA,NA,NA
Nav1,NAV1,Q8CH77,NAV1_MOUSE,Neuron navigator 1,2041,NA,TurboID unique,NA,NA,NA
Slc22a4,SLC22A4,Q9Z306,S22A4_MOUSE,Solute carrier family 22 member 4,2040,NA,TurboID unique,NA,NA,NA
Hcn3,HCN3,O88705,HCN3_MOUSE,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,2040,NA,TurboID unique,NA,NA,NA
Lrch1,LRCH1,P62046,LRCH1_MOUSE,Leucine-rich repeat and calponin homology domain-containing protein 1,2027,NA,TurboID unique,NA,NA,NA
Tmem87b,TMEM87B,Q8BKU8,TM87B_MOUSE,Transmembrane protein 87B,2027,NA,TurboID unique,NA,NA,NA
Drp2,DRP2,Q05AA6,DRP2_MOUSE,Dystrophin-related protein 2,2002,NA,TurboID unique,NA,NA,NA
Tmbim1,TMBIM1,Q8BJZ3,LFG3_MOUSE,Protein lifeguard 3,2001,NA,TurboID unique,NA,NA,NA
Pcmtd2,PCMTD2,Q8BHD8,PCMD2_MOUSE,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2,1992,NA,TurboID unique,NA,NA,NA
Btf3l4,BTF3L4,Q9CQH7,BT3L4_MOUSE,Transcription factor BTF3 homolog 4,1991,NA,TurboID unique,NA,NA,NA
Myo1e,MYO1E,E9Q634,MYO1E_MOUSE,Unconventional myosin-Ie,1989,NA,TurboID unique,NA,NA,NA
Use1,USE1,Q9CQ56,USE1_MOUSE,Vesicle transport protein USE1,1982,NA,TurboID unique,NA,NA,NA
Thada,THADA,A8C756,THADA_MOUSE,Thyroid adenoma-associated protein homolog,1975,NA,TurboID unique,NA,NA,NA
Riok3,RIOK3,Q9DBU3,RIOK3_MOUSE,Serine/threonine-protein kinase RIO3,1972,NA,TurboID unique,NA,NA,NA
Frmpd1,FRMPD1,A2AKB4,FRPD1_MOUSE,FERM and PDZ domain-containing protein 1,1959,NA,TurboID unique,NA,NA,NA
Ankrd40,ANKRD40,Q5SUE8,ANR40_MOUSE,Ankyrin repeat domain-containing protein 40,1946,NA,TurboID unique,NA,NA,NA
Kdm3b,KDM3B,Q6ZPY7,KDM3B_MOUSE,Lysine-specific demethylase 3B,1944,NA,TurboID unique,NA,NA,NA
Chrm2,CHRM2,Q9ERZ4,ACM2_MOUSE,Muscarinic acetylcholine receptor M2,1924,NA,TurboID unique,NA,NA,NA
Tm2d2,TM2D2,Q8R0I4,TM2D2_MOUSE,TM2 domain-containing protein 2,1911,NA,TurboID unique,NA,NA,NA
Aif1l,AIF1L,Q9EQX4,AIF1L_MOUSE,Allograft inflammatory factor 1-like,1892,NA,TurboID unique,NA,NA,NA
Rimkla,RIMKLA,Q6PFX8,RIMKA_MOUSE,N-acetylaspartylglutamate synthase A,1892,NA,TurboID unique,NA,NA,NA
Erap1,ERAP1,Q9EQH2,ERAP1_MOUSE,Endoplasmic reticulum aminopeptidase 1,1877,NA,TurboID unique,NA,NA,NA
Dok7,DOK7,Q18PE0,DOK7_MOUSE,Protein Dok-7,1873,NA,TurboID unique,NA,NA,NA
Lrp8,LRP8,Q924X6,LRP8_MOUSE,Low-density lipoprotein receptor-related protein 8,1865,NA,TurboID unique,NA,NA,NA
Tm9sf1,TM9SF1,Q9DBU0,TM9S1_MOUSE,Transmembrane 9 superfamily member 1,1864,NA,TurboID unique,NA,NA,NA
Antxr1,ANTXR1,Q9CZ52,ANTR1_MOUSE,Anthrax toxin receptor 1,1858,NA,TurboID unique,NA,NA,NA
Lztr1,LZTR1,Q9CQ33,LZTR1_MOUSE,Leucine-zipper-like transcriptional regulator 1,1852,NA,TurboID unique,NA,NA,NA
Kirrel1,NA,Q80W68,KIRR1_MOUSE,Kin of IRRE-like protein 1,1846,NA,TurboID unique,NA,NA,NA
Moxd1,MOXD1,Q9CXI3,MOXD1_MOUSE,DBH-like monooxygenase protein 1,1841,NA,TurboID unique,NA,NA,NA
Tnrc6c,TNRC6C,Q3UHC0,TNR6C_MOUSE,Trinucleotide repeat-containing gene 6C protein,1834,NA,TurboID unique,NA,NA,NA
Npr2,NPR2,Q6VVW5,ANPRB_MOUSE,Atrial natriuretic peptide receptor 2,1822,NA,TurboID unique,NA,NA,NA
Cacfd1,CACFD1,Q8BG21,FLOWR_MOUSE,Calcium channel flower homolog,1815,NA,TurboID unique,NA,NA,NA
Vamp4,VAMP4,O70480,VAMP4_MOUSE,Vesicle-associated membrane protein 4,1815,NA,TurboID unique,NA,NA,NA
Znf598,NA,Q80YR4,ZN598_MOUSE,E3 ubiquitin-protein ligase ZNF598,1812,NA,TurboID unique,NA,NA,NA
Deptor,DEPTOR,Q570Y9,DPTOR_MOUSE,DEP domain-containing mTOR-interacting protein,1806,NA,TurboID unique,NA,NA,NA
Pde4dip,PDE4DIP,Q80YT7,MYOME_MOUSE,Myomegalin,1805,NA,TurboID unique,NA,NA,NA
Slc30a6,SLC30A6,Q8BJM5,ZNT6_MOUSE,Zinc transporter 6,1801,NA,TurboID unique,NA,NA,NA
Lrrfip2,LRRFIP2,Q91WK0,LRRF2_MOUSE,Leucine-rich repeat flightless-interacting protein 2,1795,NA,TurboID unique,NA,NA,NA
Gpr26,GPR26,Q8BZA7,GPR26_MOUSE,G-protein coupled receptor 26,1791,NA,TurboID unique,NA,NA,NA
Itfg2,ITFG2,Q91WI7,ITFG2_MOUSE,KICSTOR complex protein ITFG2,1790,NA,TurboID unique,NA,NA,NA
Pgap4,NA,Q91YV9,PGAP4_MOUSE,Post-GPI attachment to proteins factor 4,1763,NA,TurboID unique,NA,NA,NA
Foxo3,FOXO3,Q9WVH4,FOXO3_MOUSE,Forkhead box protein O3,1756,NA,TurboID unique,NA,NA,NA
Plekha2,PLEKHA2,Q9ERS5,PKHA2_MOUSE,Pleckstrin homology domain-containing family A member 2,1739,NA,TurboID unique,NA,NA,NA
Wnk3,WNK3,Q80XP9,WNK3_MOUSE,Serine/threonine-protein kinase WNK3,1731,NA,TurboID unique,NA,NA,NA
Gbp2,GBP2,Q9Z0E6,GBP2_MOUSE,Guanylate-binding protein 2,1700,NA,TurboID unique,NA,NA,NA
Trmt61a,TRMT61A,Q80XC2,TRM61_MOUSE,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A,1691,NA,TurboID unique,NA,NA,NA
Cnksr3,CNKSR3,Q8BMA3,CNKR3_MOUSE,Connector enhancer of kinase suppressor of ras 3,1687,NA,TurboID unique,NA,NA,NA
Cast,CAST,P51125,ICAL_MOUSE,Calpastatin,1685,NA,TurboID unique,NA,NA,NA
Nelfe,NELFE,P19426,NELFE_MOUSE,Negative elongation factor E,1652,NA,TurboID unique,NA,NA,NA
Slitrk3,SLITRK3,Q810B9,SLIK3_MOUSE,SLIT and NTRK-like protein 3,1631,NA,TurboID unique,NA,NA,NA
Wdcp,WDCP,Q6NV72,WDCP_MOUSE,WD repeat and coiled-coil-containing protein,1630,NA,TurboID unique,NA,NA,NA
Vezt,VEZT,Q3ZK22,VEZA_MOUSE,Vezatin,1627,NA,TurboID unique,NA,NA,NA
Slc2a8,SLC2A8,Q9JIF3,GTR8_MOUSE,"Solute carrier family 2, facilitated glucose transporter member 8",1622,NA,TurboID unique,NA,NA,NA
Gdpd2,GDPD2,Q9ESM6,GDPD2_MOUSE,Glycerophosphoinositol inositolphosphodiesterase GDPD2,1616,NA,TurboID unique,NA,NA,NA
Dipk1b,NA,Q99ML4,DIK1B_MOUSE,Divergent protein kinase domain 1B,1611,NA,TurboID unique,NA,NA,NA
Erbb2,ERBB2,P70424,ERBB2_MOUSE,Receptor tyrosine-protein kinase erbB-2,1600,NA,TurboID unique,NA,NA,NA
R3hcc1,R3HCC1,Q8BSI6,R3HC1_MOUSE,R3H and coiled-coil domain-containing protein 1,1568,NA,TurboID unique,NA,NA,NA
Fmo2,FMO2,Q8K2I3,FMO2_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 2,1550,NA,TurboID unique,NA,NA,NA
Nxf1,NXF1,Q99JX7,NXF1_MOUSE,Nuclear RNA export factor 1,1537,NA,TurboID unique,NA,NA,NA
Cldn5,CLDN5,O54942,CLD5_MOUSE,Claudin-5,1520,NA,TurboID unique,NA,NA,NA
Sun2,SUN2,Q8BJS4,SUN2_MOUSE,SUN domain-containing protein 2,1494,NA,TurboID unique,NA,NA,NA
Jpt1,JPT1,P97825,JUPI1_MOUSE,Jupiter microtubule associated homolog 1,1493,NA,TurboID unique,NA,NA,NA
S1pr5,S1PR5,Q91X56,S1PR5_MOUSE,Sphingosine 1-phosphate receptor 5,1487,NA,TurboID unique,NA,NA,NA
Keap1,KEAP1,Q9Z2X8,KEAP1_MOUSE,Kelch-like ECH-associated protein 1,1476,NA,TurboID unique,NA,NA,NA
MARCHF2,NA,Q99M02,MARH2_MOUSE,E3 ubiquitin-protein ligase MARCHF2,1475,NA,TurboID unique,NA,NA,NA
Polr2g,POLR2G,P62488,RPB7_MOUSE,DNA-directed RNA polymerase II subunit RPB7,1467,NA,TurboID unique,NA,NA,NA
Tnip1,TNIP1,Q9WUU8,TNIP1_MOUSE,TNFAIP3-interacting protein 1,1460,NA,TurboID unique,NA,NA,NA
Slc35a1,SLC35A1,Q61420,S35A1_MOUSE,CMP-sialic acid transporter,1457,NA,TurboID unique,NA,NA,NA
Evc,EVC,P57680,EVC_MOUSE,Ellis-van Creveld syndrome protein homolog,1457,NA,TurboID unique,NA,NA,NA
Pltp,PLTP,P55065,PLTP_MOUSE,Phospholipid transfer protein,1450,NA,TurboID unique,NA,NA,NA
Pecam1,PECAM1,Q08481,PECA1_MOUSE,Platelet endothelial cell adhesion molecule,1449,NA,TurboID unique,NA,NA,NA
Abca3,ABCA3,Q8R420,ABCA3_MOUSE,Phospholipid-transporting ATPase ABCA3,1445,NA,TurboID unique,NA,NA,NA
Rab3il1,RAB3IL1,Q8VDV3,R3GEF_MOUSE,Guanine nucleotide exchange factor for Rab-3A,1432,NA,TurboID unique,NA,NA,NA
Rnd2,RND2,Q9QYM5,RND2_MOUSE,Rho-related GTP-binding protein RhoN,1432,NA,TurboID unique,NA,NA,NA
Usp25,USP25,P57080,UBP25_MOUSE,Ubiquitin carboxyl-terminal hydrolase 25,1427,NA,TurboID unique,NA,NA,NA
Polr2d,POLR2D,Q9D7M8,RPB4_MOUSE,DNA-directed RNA polymerase II subunit RPB4,1425,NA,TurboID unique,NA,NA,NA
Pex13,PEX13,Q9D0K1,PEX13_MOUSE,Peroxisomal membrane protein PEX13,1425,NA,TurboID unique,NA,NA,NA
Jag1,JAG1,Q9QXX0,JAG1_MOUSE,Protein jagged-1,1409,NA,TurboID unique,NA,NA,NA
Dtx3l,DTX3L,Q3UIR3,DTX3L_MOUSE,E3 ubiquitin-protein ligase DTX3L,1396,NA,TurboID unique,NA,NA,NA
Stx5,NA,Q8K1E0,STX5_MOUSE,Syntaxin-5,1392,NA,TurboID unique,NA,NA,NA
Vasp,VASP,P70460,VASP_MOUSE,Vasodilator-stimulated phosphoprotein,1390,NA,TurboID unique,NA,NA,NA
Luzp2,LUZP2,Q8BGY3,LUZP2_MOUSE,Leucine zipper protein 2,1379,NA,TurboID unique,NA,NA,NA
Dop1a,NA,Q8BL99,DOP1_MOUSE,Protein dopey-1,1376,NA,TurboID unique,NA,NA,NA
Elac2,ELAC2,Q80Y81,RNZ2_MOUSE,Zinc phosphodiesterase ELAC protein 2,1360,NA,TurboID unique,NA,NA,NA
Zc3hav1,ZC3HAV1,Q3UPF5,ZCCHV_MOUSE,Zinc finger CCCH-type antiviral protein 1,1341,NA,TurboID unique,NA,NA,NA
Ubxn4,UBXN4,Q8VCH8,UBXN4_MOUSE,UBX domain-containing protein 4,1325,NA,TurboID unique,NA,NA,NA
Reep3,REEP3,Q99KK1,REEP3_MOUSE,Receptor expression-enhancing protein 3,1322,NA,TurboID unique,NA,NA,NA
Tmem237,TMEM237,Q3V0J1,TM237_MOUSE,Transmembrane protein 237,1319,NA,TurboID unique,NA,NA,NA
Rnf114,RNF114,Q9ET26,RN114_MOUSE,E3 ubiquitin-protein ligase RNF114,1316,NA,TurboID unique,NA,NA,NA
Syde1,SYDE1,Q9DBZ9,SYDE1_MOUSE,Rho GTPase-activating protein SYDE1,1276,NA,TurboID unique,NA,NA,NA
Ripk2,RIPK2,P58801,RIPK2_MOUSE,Receptor-interacting serine/threonine-protein kinase 2,1270,NA,TurboID unique,NA,NA,NA
Tmbim6,TMBIM6,Q9D2C7,BI1_MOUSE,Bax inhibitor 1,1267,NA,TurboID unique,NA,NA,NA
Atp2a3,ATP2A3,Q64518,AT2A3_MOUSE,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,1246,NA,TurboID unique,NA,NA,NA
Golt1b,GOLT1B,Q9CR60,GOT1B_MOUSE,Vesicle transport protein GOT1B,1246,NA,TurboID unique,NA,NA,NA
Sgpp1,SGPP1,Q9JI99,SGPP1_MOUSE,Sphingosine-1-phosphate phosphatase 1,1191,NA,TurboID unique,NA,NA,NA
Exosc7,EXOSC7,Q9D0M0,EXOS7_MOUSE,Exosome complex exonuclease RRP42,1154,NA,TurboID unique,NA,NA,NA
Orai1,ORAI1,Q8BWG9,CRCM1_MOUSE,Calcium release-activated calcium channel protein 1,1141,NA,TurboID unique,NA,NA,NA
Syt17,SYT17,Q920M7,SYT17_MOUSE,Synaptotagmin-17,1114,NA,TurboID unique,NA,NA,NA
Stk11,STK11,Q9WTK7,STK11_MOUSE,Serine/threonine-protein kinase STK11,1114,NA,TurboID unique,NA,NA,NA
H2-K1,HLA-A,P01901,HA1B_MOUSE,"H-2 class I histocompatibility antigen, K-B alpha chain",1108,NA,TurboID unique,NA,NA,NA
Trip6,TRIP6,Q9Z1Y4,TRIP6_MOUSE,Thyroid receptor-interacting protein 6,1094,NA,TurboID unique,NA,NA,NA
Zw10,ZW10,O54692,ZW10_MOUSE,Centromere/kinetochore protein zw10 homolog,1093,NA,TurboID unique,NA,NA,NA
Sh3bp5l,SH3BP5L,Q99LH9,3BP5L_MOUSE,SH3 domain-binding protein 5-like,1082,NA,TurboID unique,NA,NA,NA
Slc30a5,SLC30A5,Q8R4H9,ZNT5_MOUSE,Zinc transporter 5,1077,NA,TurboID unique,NA,NA,NA
Borcs7,BORCS7,Q9CRC6,BORC7_MOUSE,BLOC-1-related complex subunit 7,1071,NA,TurboID unique,NA,NA,NA
Cdc26,CDC26,Q99JP4,CDC26_MOUSE,Anaphase-promoting complex subunit CDC26,1047,NA,TurboID unique,NA,NA,NA
Rnf149,RNF149,Q3U2C5,RN149_MOUSE,E3 ubiquitin-protein ligase RNF149,1038,NA,TurboID unique,NA,NA,NA
Kcnq3,KCNQ3,Q8K3F6,KCNQ3_MOUSE,Potassium voltage-gated channel subfamily KQT member 3,1005,NA,TurboID unique,NA,NA,NA
Nrip2,NRIP2,Q9JHR9,NRIP2_MOUSE,Nuclear receptor-interacting protein 2,1002,NA,TurboID unique,NA,NA,NA
Glipr2,GLIPR2,Q9CYL5,GAPR1_MOUSE,Golgi-associated plant pathogenesis-related protein 1,984,NA,TurboID unique,NA,NA,NA
Cnnm4,CNNM4,Q69ZF7,CNNM4_MOUSE,Metal transporter CNNM4,973,NA,TurboID unique,NA,NA,NA
Scyl3,SCYL3,Q9DBQ7,PACE1_MOUSE,Protein-associating with the carboxyl-terminal domain of ezrin,972,NA,TurboID unique,NA,NA,NA
Ca8,NA,P28651,CAH8_MOUSE,Carbonic anhydrase-related protein,966,NA,TurboID unique,NA,NA,NA
Washc1,WASHC1,Q8VDD8,WASH1_MOUSE,WASH complex subunit 1,959,NA,TurboID unique,NA,NA,NA
Galnt17,NA,Q7TT15,GLT17_MOUSE,Polypeptide N-acetylgalactosaminyltransferase 17,945,NA,TurboID unique,NA,NA,NA
Mapkap1,MAPKAP1,Q8BKH7,SIN1_MOUSE,Target of rapamycin complex 2 subunit MAPKAP1,942,NA,TurboID unique,NA,NA,NA
Rfc1,RFC1,P35601,RFC1_MOUSE,Replication factor C subunit 1,914,NA,TurboID unique,NA,NA,NA
Plxna3,PLXNA3,P70208,PLXA3_MOUSE,Plexin-A3,884,NA,TurboID unique,NA,NA,NA
Lyn,LYN,P25911,LYN_MOUSE,Tyrosine-protein kinase Lyn,881,NA,TurboID unique,NA,NA,NA
Srebf2,SREBF2,Q3U1N2,SRBP2_MOUSE,Sterol regulatory element-binding protein 2,857,NA,TurboID unique,NA,NA,NA
Spred2,SPRED2,Q924S7,SPRE2_MOUSE,"Sprouty-related, EVH1 domain-containing protein 2",832,NA,TurboID unique,NA,NA,NA
Afg1l,AFG1L,Q3V384,AFG1L_MOUSE,AFG1-like ATPase,817,NA,TurboID unique,NA,NA,NA
Mid2,MID2,Q9QUS6,TRIM1_MOUSE,Probable E3 ubiquitin-protein ligase MID2,772,NA,TurboID unique,NA,NA,NA
Gabrg3,GABRG3,P27681,GBRG3_MOUSE,Gamma-aminobutyric acid receptor subunit gamma-3,715,NA,TurboID unique,NA,NA,NA
Pomt1,POMT1,Q8R2R1,POMT1_MOUSE,Protein O-mannosyl-transferase 1,684,NA,TurboID unique,NA,NA,NA
Tmcc3,TMCC3,Q8R310,TMCC3_MOUSE,Transmembrane and coiled-coil domain protein 3,672,NA,TurboID unique,NA,NA,NA
C4b,C4B,P01029,CO4B_MOUSE,Complement C4-B,656,NA,TurboID unique,NA,NA,NA
Tpgs2,TPGS2,Q66JT5,TPGS2_MOUSE,Tubulin polyglutamylase complex subunit 2,648,NA,TurboID unique,NA,NA,NA
Cradd,CRADD,O88843,CRADD_MOUSE,Death domain-containing protein CRADD,631,NA,TurboID unique,NA,NA,NA
Atg4a,ATG4A,Q8C9S8,ATG4A_MOUSE,Cysteine protease ATG4A,619,NA,TurboID unique,NA,NA,NA
Bfar,BFAR,Q8R079,BFAR_MOUSE,Bifunctional apoptosis regulator,551,NA,TurboID unique,NA,NA,NA
Slc35b1,SLC35B1,P97858,S35B1_MOUSE,Solute carrier family 35 member B1,551,NA,TurboID unique,NA,NA,NA
Lrrn1,LRRN1,Q61809,LRRN1_MOUSE,Leucine-rich repeat neuronal protein 1,417,NA,TurboID unique,NA,NA,NA
Adra2a,ADRA2A,Q01338,ADA2A_MOUSE,Alpha-2A adrenergic receptor,285,NA,TurboID unique,NA,NA,NA
Myo6,MYO6,Q64331,MYO6_MOUSE,Unconventional myosin-VI,2948152,78806,TurboID enriched,5.25,0.000000,0.000012
Dlgap1,DLGAP1,Q9D415,DLGP1_MOUSE,Disks large-associated protein 1,69718,9700,TurboID enriched,2.84,0.000000,0.000029
Tjp1,TJP1,P39447,ZO1_MOUSE,Tight junction protein ZO-1,103093,7309,TurboID enriched,3.82,0.000000,0.000043
Map4,MAP4,P27546,MAP4_MOUSE,Microtubule-associated protein 4,429150,28900,TurboID enriched,3.91,0.000000,0.000063
Arhgap21,ARHGAP21,Q6DFV3,RHG21_MOUSE,Rho GTPase-activating protein 21,37040,7700,TurboID enriched,2.26,0.000000,0.000063
Shank2,SHANK2,Q80Z38,SHAN2_MOUSE,SH3 and multiple ankyrin repeat domains protein 2,84043,17629,TurboID enriched,2.26,0.000000,0.000079
Clasp2,CLASP2,Q8BRT1,CLAP2_MOUSE,CLIP-associating protein 2,74964,16546,TurboID enriched,2.17,0.000000,0.000079
Stim1,STIM1,P70302,STIM1_MOUSE,Stromal interaction molecule 1,67807,5511,TurboID enriched,3.66,0.000000,0.000079
