Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Marchf5,NA,Q3KNM2,MARH5_MOUSE,E3 ubiquitin-protein ligase MARCHF5,23223,NA,TurboID unique,NA,NA,NA
Cers2,CERS2,Q924Z4,CERS2_MOUSE,Ceramide synthase 2,23201,NA,TurboID unique,NA,NA,NA
Atxn2l,ATXN2L,Q7TQH0,ATX2L_MOUSE,Ataxin-2-like protein,23094,NA,TurboID unique,NA,NA,NA
Tbrg4,TBRG4,Q91YM4,FAKD4_MOUSE,FAST kinase domain-containing protein 4,22992,NA,TurboID unique,NA,NA,NA
Ephb6,EPHB6,O08644,EPHB6_MOUSE,Ephrin type-B receptor 6,22948,NA,TurboID unique,NA,NA,NA
Pgap1,PGAP1,Q3UUQ7,PGAP1_MOUSE,GPI inositol-deacylase,22882,NA,TurboID unique,NA,NA,NA
Cnr1,CNR1,P47746,CNR1_MOUSE,Cannabinoid receptor 1,22854,NA,TurboID unique,NA,NA,NA
Slc22a6,SLC22A6,Q8VC69,S22A6_MOUSE,Solute carrier family 22 member 6,22849,NA,TurboID unique,NA,NA,NA
Snap23,SNAP23,O09044,SNP23_MOUSE,Synaptosomal-associated protein 23,22696,NA,TurboID unique,NA,NA,NA
Nipa1,NIPA1,Q8BHK1,NIPA1_MOUSE,Magnesium transporter NIPA1,22668,NA,TurboID unique,NA,NA,NA
Gabrb1,GABRB1,P50571,GBRB1_MOUSE,Gamma-aminobutyric acid receptor subunit beta-1,22660,NA,TurboID unique,NA,NA,NA
Acsl4,ACSL4,Q9QUJ7,ACSL4_MOUSE,Long-chain-fatty-acid--CoA ligase 4,22638,NA,TurboID unique,NA,NA,NA
Ripor2,RIPOR2,Q80U16,RIPR2_MOUSE,Rho family-interacting cell polarization regulator 2,22435,NA,TurboID unique,NA,NA,NA
Tmem245,TMEM245,B1AZA5,TM245_MOUSE,Transmembrane protein 245,22374,NA,TurboID unique,NA,NA,NA
Igbp1,IGBP1,Q61249,IGBP1_MOUSE,Immunoglobulin-binding protein 1,22357,NA,TurboID unique,NA,NA,NA
Kcnj11,KCNJ11,Q61743,KCJ11_MOUSE,ATP-sensitive inward rectifier potassium channel 11,22268,NA,TurboID unique,NA,NA,NA
Wdr20,WDR20,Q9D5R2,WDR20_MOUSE,WD repeat-containing protein 20,22139,NA,TurboID unique,NA,NA,NA
Ablim1,ABLIM1,Q8K4G5,ABLM1_MOUSE,Actin-binding LIM protein 1,22134,NA,TurboID unique,NA,NA,NA
Rab3gap2,RAB3GAP2,Q8BMG7,RBGPR_MOUSE,Rab3 GTPase-activating protein non-catalytic subunit,22014,NA,TurboID unique,NA,NA,NA
Aatk,AATK,Q80YE4,LMTK1_MOUSE,Serine/threonine-protein kinase LMTK1,21985,NA,TurboID unique,NA,NA,NA
Celsr2,CELSR2,Q9R0M0,CELR2_MOUSE,Cadherin EGF LAG seven-pass G-type receptor 2,21938,NA,TurboID unique,NA,NA,NA
Tnks1bp1,TNKS1BP1,P58871,TB182_MOUSE,182 kDa tankyrase-1-binding protein,21927,NA,TurboID unique,NA,NA,NA
Prkaa2,PRKAA2,Q8BRK8,AAPK2_MOUSE,5'-AMP-activated protein kinase catalytic subunit alpha-2,21901,NA,TurboID unique,NA,NA,NA
Abcb9,ABCB9,Q9JJ59,ABCB9_MOUSE,ABC-type oligopeptide transporter ABCB9,21844,NA,TurboID unique,NA,NA,NA
Dpy19l3,DPY19L3,Q71B07,D19L3_MOUSE,Probable C-mannosyltransferase DPY19L3,21806,NA,TurboID unique,NA,NA,NA
Gcdh,GCDH,Q60759,GCDH_MOUSE,"Glutaryl-CoA dehydrogenase, mitochondrial",21726,NA,TurboID unique,NA,NA,NA
Kcna4,KCNA4,Q61423,KCNA4_MOUSE,Potassium voltage-gated channel subfamily A member 4,21725,NA,TurboID unique,NA,NA,NA
Lrig1,LRIG1,P70193,LRIG1_MOUSE,Leucine-rich repeats and immunoglobulin-like domains protein 1,21721,NA,TurboID unique,NA,NA,NA
Chrm1,CHRM1,P12657,ACM1_MOUSE,Muscarinic acetylcholine receptor M1,21597,NA,TurboID unique,NA,NA,NA
Nat8l,NAT8L,Q3UGX3,NAT8L_MOUSE,N-acetylaspartate synthetase,21572,NA,TurboID unique,NA,NA,NA
Atp13a1,ATP13A1,Q9EPE9,AT131_MOUSE,Endoplasmic reticulum transmembrane helix translocase,21568,NA,TurboID unique,NA,NA,NA
Timm9,TIMM9,Q9WV98,TIM9_MOUSE,Mitochondrial import inner membrane translocase subunit Tim9,21523,NA,TurboID unique,NA,NA,NA
Cenpv,CENPV,Q9CXS4,CENPV_MOUSE,Centromere protein V,21519,NA,TurboID unique,NA,NA,NA
Inpp5k,INPP5K,Q8C5L6,INP5K_MOUSE,Inositol polyphosphate 5-phosphatase K,21480,NA,TurboID unique,NA,NA,NA
Scn1a,SCN1A,A2APX8,SCN1A_MOUSE,Sodium channel protein type 1 subunit alpha,21438,NA,TurboID unique,NA,NA,NA
Usp9x,USP9X,P70398,USP9X_MOUSE,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,21381,NA,TurboID unique,NA,NA,NA
Stk39,STK39,Q9Z1W9,STK39_MOUSE,STE20/SPS1-related proline-alanine-rich protein kinase,21336,NA,TurboID unique,NA,NA,NA
Slc7a2,SLC7A2,P18581,CTR2_MOUSE,Cationic amino acid transporter 2,21323,NA,TurboID unique,NA,NA,NA
Dhx15,DHX15,O35286,DHX15_MOUSE,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,21252,NA,TurboID unique,NA,NA,NA
Kcnb1,KCNB1,Q03717,KCNB1_MOUSE,Potassium voltage-gated channel subfamily B member 1,21237,NA,TurboID unique,NA,NA,NA
Slc14a1,SLC14A1,Q8VHL0,UT1_MOUSE,Urea transporter 1,21220,NA,TurboID unique,NA,NA,NA
Cplx3,CPLX3,Q8R1B5,CPLX3_MOUSE,Complexin-3,21209,NA,TurboID unique,NA,NA,NA
Ddx6,DDX6,P54823,DDX6_MOUSE,Probable ATP-dependent RNA helicase DDX6,21180,NA,TurboID unique,NA,NA,NA
Wdr44,WDR44,Q6NVE8,WDR44_MOUSE,WD repeat-containing protein 44,21152,NA,TurboID unique,NA,NA,NA
Adam11,ADAM11,Q9R1V4,ADA11_MOUSE,Disintegrin and metalloproteinase domain-containing protein 11,21139,NA,TurboID unique,NA,NA,NA
Slc25a14,SLC25A14,Q9Z2B2,UCP5_MOUSE,Brain mitochondrial carrier protein 1,21097,NA,TurboID unique,NA,NA,NA
Lrrc4b,LRRC4B,P0C192,LRC4B_MOUSE,Leucine-rich repeat-containing protein 4B,21066,NA,TurboID unique,NA,NA,NA
Itpr2,ITPR2,Q9Z329,ITPR2_MOUSE,"Inositol 1,4,5-trisphosphate receptor type 2",20994,NA,TurboID unique,NA,NA,NA
Ier3ip1,IER3IP1,Q9CR20,IR3IP_MOUSE,Immediate early response 3-interacting protein 1,20978,NA,TurboID unique,NA,NA,NA
Smu1,SMU1,Q3UKJ7,SMU1_MOUSE,WD40 repeat-containing protein SMU1,20847,NA,TurboID unique,NA,NA,NA
Zdhhc17,ZDHHC17,Q80TN5,ZDH17_MOUSE,Palmitoyltransferase ZDHHC17,20776,NA,TurboID unique,NA,NA,NA
Tgoln1,TGOLN2,Q62313,TGON1_MOUSE,Trans-Golgi network integral membrane protein 1,20745,NA,TurboID unique,NA,NA,NA
Camsap3,CAMSAP3,Q80VC9,CAMP3_MOUSE,Calmodulin-regulated spectrin-associated protein 3,20739,NA,TurboID unique,NA,NA,NA
Tp53bp2,NA,Q8CG79,ASPP2_MOUSE,Apoptosis-stimulating of p53 protein 2,20737,NA,TurboID unique,NA,NA,NA
Tnik,TNIK,P83510,TNIK_MOUSE,Traf2 and NCK-interacting protein kinase,20691,NA,TurboID unique,NA,NA,NA
Lmbrd2,LMBRD2,Q8C561,LMBD2_MOUSE,G-protein coupled receptor-associated protein LMBRD2,20650,NA,TurboID unique,NA,NA,NA
Ttc7b,TTC7B,E9Q6P5,TTC7B_MOUSE,Tetratricopeptide repeat protein 7B,20641,NA,TurboID unique,NA,NA,NA
Gk,GK3P,Q64516,GLPK_MOUSE,Glycerol kinase,20604,NA,TurboID unique,NA,NA,NA
Odr4,NA,Q4PJX1,ODR4_MOUSE,Protein odr-4 homolog,20584,NA,TurboID unique,NA,NA,NA
FAM120A,NA,Q6A0A9,F120A_MOUSE,Constitutive coactivator of PPAR-gamma-like protein 1,20538,NA,TurboID unique,NA,NA,NA
Pak2,PAK2,Q8CIN4,PAK2_MOUSE,Serine/threonine-protein kinase PAK 2,20497,NA,TurboID unique,NA,NA,NA
Wdr24,WDR24,Q8CFJ9,WDR24_MOUSE,GATOR complex protein WDR24,20467,NA,TurboID unique,NA,NA,NA
Arl8a,ARL8A,Q8VEH3,ARL8A_MOUSE,ADP-ribosylation factor-like protein 8A,20425,NA,TurboID unique,NA,NA,NA
Zdhhc20,ZDHHC20,Q5Y5T1,ZDH20_MOUSE,Palmitoyltransferase ZDHHC20,20415,NA,TurboID unique,NA,NA,NA
Clcn2,CLCN2,Q9R0A1,CLCN2_MOUSE,Chloride channel protein 2,20277,NA,TurboID unique,NA,NA,NA
Bag3,BAG3,Q9JLV1,BAG3_MOUSE,BAG family molecular chaperone regulator 3,20167,NA,TurboID unique,NA,NA,NA
Sigmar1,SIGMAR1,O55242,SGMR1_MOUSE,Sigma non-opioid intracellular receptor 1,20077,NA,TurboID unique,NA,NA,NA
Tmem121b,TMEM121B,Q99MX7,T121B_MOUSE,Transmembrane protein 121B,20054,NA,TurboID unique,NA,NA,NA
Ephb3,EPHB3,P54754,EPHB3_MOUSE,Ephrin type-B receptor 3,20028,NA,TurboID unique,NA,NA,NA
Tmem38a,TMEM38A,Q3TMP8,TM38A_MOUSE,Trimeric intracellular cation channel type A,20010,NA,TurboID unique,NA,NA,NA
Elfn1,ELFN1,Q8C8T7,ELFN1_MOUSE,Protein ELFN1,19921,NA,TurboID unique,NA,NA,NA
Rnf214,RNF214,Q8BFU3,RN214_MOUSE,RING finger protein 214,19910,NA,TurboID unique,NA,NA,NA
Plrg1,PLRG1,Q922V4,PLRG1_MOUSE,Pleiotropic regulator 1,19885,NA,TurboID unique,NA,NA,NA
Nrxn2,NRXN2,E9Q7X7,NRX2A_MOUSE,Neurexin-2,19869,NA,TurboID unique,NA,NA,NA
Tmem30a,TMEM30A,Q8VEK0,CC50A_MOUSE,Cell cycle control protein 50A,19855,NA,TurboID unique,NA,NA,NA
Grin2a,GRIN2A,P35436,NMDE1_MOUSE,"Glutamate receptor ionotropic, NMDA 2A",19840,NA,TurboID unique,NA,NA,NA
Daam2,DAAM2,Q80U19,DAAM2_MOUSE,Disheveled-associated activator of morphogenesis 2,19823,NA,TurboID unique,NA,NA,NA
Septin2,NA,P42208,SEPT2_MOUSE,Septin-2,19821,NA,TurboID unique,NA,NA,NA
Palmd,PALMD,Q9JHU2,PALMD_MOUSE,Palmdelphin,19817,NA,TurboID unique,NA,NA,NA
Adcy2,ADCY2,Q80TL1,ADCY2_MOUSE,Adenylate cyclase type 2,19791,NA,TurboID unique,NA,NA,NA
Vti1b,VTI1B,O88384,VTI1B_MOUSE,Vesicle transport through interaction with t-SNAREs homolog 1B,19771,NA,TurboID unique,NA,NA,NA
Fry,FRY,E9Q8I9,FRY_MOUSE,Protein furry homolog,19759,NA,TurboID unique,NA,NA,NA
Sntb2,SNTB2,Q61235,SNTB2_MOUSE,Beta-2-syntrophin,19694,NA,TurboID unique,NA,NA,NA
Ccdc88a,CCDC88A,Q5SNZ0,GRDN_MOUSE,Girdin,19677,NA,TurboID unique,NA,NA,NA
Cox15,COX15,Q8BJ03,COX15_MOUSE,Cytochrome c oxidase assembly protein COX15 homolog,19649,NA,TurboID unique,NA,NA,NA
Fer1l4,NA,A3KGK3,FR1L4_MOUSE,Fer-1-like protein 4,19632,NA,TurboID unique,NA,NA,NA
Synpr,SYNPR,Q8BGN8,SYNPR_MOUSE,Synaptoporin,19595,NA,TurboID unique,NA,NA,NA
Slc25a16,SLC25A16,Q8C0K5,GDC_MOUSE,Graves disease carrier protein homolog,19550,NA,TurboID unique,NA,NA,NA
Pygm,PYGM,Q9WUB3,PYGM_MOUSE,"Glycogen phosphorylase, muscle form",19534,NA,TurboID unique,NA,NA,NA
Grm1,GRM1,P97772,GRM1_MOUSE,Metabotropic glutamate receptor 1,19528,NA,TurboID unique,NA,NA,NA
Itgb6,ITGB6,Q9Z0T9,ITB6_MOUSE,Integrin beta-6,19498,NA,TurboID unique,NA,NA,NA
Ostc,OSTC,Q78XF5,OSTC_MOUSE,Oligosaccharyltransferase complex subunit OSTC,19476,NA,TurboID unique,NA,NA,NA
Clcn3,CLCN3,P51791,CLCN3_MOUSE,H(+)/Cl(-) exchange transporter 3,19463,NA,TurboID unique,NA,NA,NA
Gpr50,GPR50,O88495,MTR1L_MOUSE,Melatonin-related receptor,19422,NA,TurboID unique,NA,NA,NA
Vps13a,VPS13A,Q5H8C4,VP13A_MOUSE,Vacuolar protein sorting-associated protein 13A,19406,NA,TurboID unique,NA,NA,NA
Adcy8,ADCY8,P97490,ADCY8_MOUSE,Adenylate cyclase type 8,19394,NA,TurboID unique,NA,NA,NA
Rgs7,RGS7,O54829,RGS7_MOUSE,Regulator of G-protein signaling 7,19345,NA,TurboID unique,NA,NA,NA
Tbc1d24,TBC1D24,Q3UUG6,TBC24_MOUSE,TBC1 domain family member 24,19268,NA,TurboID unique,NA,NA,NA
Dock4,DOCK4,P59764,DOCK4_MOUSE,Dedicator of cytokinesis protein 4,19240,NA,TurboID unique,NA,NA,NA
Acox3,ACOX3,Q9EPL9,ACOX3_MOUSE,Peroxisomal acyl-coenzyme A oxidase 3,19238,NA,TurboID unique,NA,NA,NA
Gpx4,GPX4,O70325,GPX4_MOUSE,Phospholipid hydroperoxide glutathione peroxidase,19236,NA,TurboID unique,NA,NA,NA
Chpt1,CHPT1,Q8C025,CHPT1_MOUSE,Cholinephosphotransferase 1,19210,NA,TurboID unique,NA,NA,NA
Dennd11,NA,Q3UHG7,DEN11_MOUSE,DENN domain-containing protein 11,19104,NA,TurboID unique,NA,NA,NA
Rfc5,RFC5,Q9D0F6,RFC5_MOUSE,Replication factor C subunit 5,19085,NA,TurboID unique,NA,NA,NA
Pnpla8,PNPLA8,Q8K1N1,PLPL8_MOUSE,Calcium-independent phospholipase A2-gamma,19075,NA,TurboID unique,NA,NA,NA
Ralgapb,RALGAPB,Q8BQZ4,RLGPB_MOUSE,Ral GTPase-activating protein subunit beta,19027,NA,TurboID unique,NA,NA,NA
Dennd1a,DENND1A,Q8K382,DEN1A_MOUSE,DENN domain-containing protein 1A,19016,NA,TurboID unique,NA,NA,NA
Igsf11,IGSF11,P0C673,IGS11_MOUSE,Immunoglobulin superfamily member 11,19004,NA,TurboID unique,NA,NA,NA
Lrp4,LRP4,Q8VI56,LRP4_MOUSE,Low-density lipoprotein receptor-related protein 4,18952,NA,TurboID unique,NA,NA,NA
Fmnl2,FMNL2,A2APV2,FMNL2_MOUSE,Formin-like protein 2,18890,NA,TurboID unique,NA,NA,NA
Syt7,SYT7,Q9R0N7,SYT7_MOUSE,Synaptotagmin-7,18844,NA,TurboID unique,NA,NA,NA
Sgpl1,SGPL1,Q8R0X7,SGPL1_MOUSE,Sphingosine-1-phosphate lyase 1,18743,NA,TurboID unique,NA,NA,NA
Eif3h,EIF3H,Q91WK2,EIF3H_MOUSE,Eukaryotic translation initiation factor 3 subunit H,18708,NA,TurboID unique,NA,NA,NA
Atad1,ATAD1,Q9D5T0,ATAD1_MOUSE,Outer mitochondrial transmembrane helix translocase,18699,NA,TurboID unique,NA,NA,NA
Prpf19,PRPF19,Q99KP6,PRP19_MOUSE,Pre-mRNA-processing factor 19,18682,NA,TurboID unique,NA,NA,NA
Ache,ACHE,P21836,ACES_MOUSE,Acetylcholinesterase,18650,NA,TurboID unique,NA,NA,NA
Hipk2,HIPK2,Q9QZR5,HIPK2_MOUSE,Homeodomain-interacting protein kinase 2,18630,NA,TurboID unique,NA,NA,NA
Rps15a,RPS15A,P62245,RS15A_MOUSE,40S ribosomal protein S15a,18600,NA,TurboID unique,NA,NA,NA
Eif4g1,EIF4G1,Q6NZJ6,IF4G1_MOUSE,Eukaryotic translation initiation factor 4 gamma 1,18578,NA,TurboID unique,NA,NA,NA
Efnb2,EFNB2,P52800,EFNB2_MOUSE,Ephrin-B2,18519,NA,TurboID unique,NA,NA,NA
Ythdc2,YTHDC2,B2RR83,YTDC2_MOUSE,3'-5' RNA helicase YTHDC2,18515,NA,TurboID unique,NA,NA,NA
Cables1,CABLES1,Q9ESJ1,CABL1_MOUSE,CDK5 and ABL1 enzyme substrate 1,18482,NA,TurboID unique,NA,NA,NA
Tacc2,TACC2,Q9JJG0,TACC2_MOUSE,Transforming acidic coiled-coil-containing protein 2,18462,NA,TurboID unique,NA,NA,NA
Abca1,ABCA1,P41233,ABCA1_MOUSE,Phospholipid-transporting ATPase ABCA1,18444,NA,TurboID unique,NA,NA,NA
Elp4,ELP4,Q9ER73,ELP4_MOUSE,Elongator complex protein 4,18401,NA,TurboID unique,NA,NA,NA
Cadm1,CADM1,Q8R5M8,CADM1_MOUSE,Cell adhesion molecule 1,18336,NA,TurboID unique,NA,NA,NA
Akap2,AKAP2,O54931,AKAP2_MOUSE,A-kinase anchor protein 2,18303,NA,TurboID unique,NA,NA,NA
Gabra5,GABRA5,Q8BHJ7,GBRA5_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-5,18227,NA,TurboID unique,NA,NA,NA
Gnai3,GNAI3,Q9DC51,GNAI3_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-3,18191,NA,TurboID unique,NA,NA,NA
Slc12a9,SLC12A9,Q99MR3,S12A9_MOUSE,Solute carrier family 12 member 9,18185,NA,TurboID unique,NA,NA,NA
Lynx1,LYNX1,P0DP60,LYNX1_MOUSE,Ly-6/neurotoxin-like protein 1,18177,NA,TurboID unique,NA,NA,NA
Itga7,ITGA7,Q61738,ITA7_MOUSE,Integrin alpha-7,18169,NA,TurboID unique,NA,NA,NA
Rint1,RINT1,Q8BZ36,RINT1_MOUSE,RAD50-interacting protein 1,18026,NA,TurboID unique,NA,NA,NA
Magi2,MAGI2,Q9WVQ1,MAGI2_MOUSE,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",18025,NA,TurboID unique,NA,NA,NA
Cers6,CERS6,Q8C172,CERS6_MOUSE,Ceramide synthase 6,18004,NA,TurboID unique,NA,NA,NA
Prkcz,PRKCZ,Q02956,KPCZ_MOUSE,Protein kinase C zeta type,17980,NA,TurboID unique,NA,NA,NA
Snx27,SNX27,Q3UHD6,SNX27_MOUSE,Sorting nexin-27,17951,NA,TurboID unique,NA,NA,NA
Prex2,PREX2,Q3LAC4,PREX2_MOUSE,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein",17928,NA,TurboID unique,NA,NA,NA
Plxnb1,PLXNB1,Q8CJH3,PLXB1_MOUSE,Plexin-B1,17926,NA,TurboID unique,NA,NA,NA
Dync1i1,DYNC1I1,O88485,DC1I1_MOUSE,Cytoplasmic dynein 1 intermediate chain 1,17897,NA,TurboID unique,NA,NA,NA
Tln2,TLN2,Q71LX4,TLN2_MOUSE,Talin-2,17894,NA,TurboID unique,NA,NA,NA
Mat2a,MAT2A,Q3THS6,METK2_MOUSE,S-adenosylmethionine synthase isoform type-2,17880,NA,TurboID unique,NA,NA,NA
Svop,SVOP,Q8BFT9,SVOP_MOUSE,Synaptic vesicle 2-related protein,17805,NA,TurboID unique,NA,NA,NA
C1qc,C1QC,Q02105,C1QC_MOUSE,Complement C1q subcomponent subunit C,17792,NA,TurboID unique,NA,NA,NA
Cacna2d3,CACNA2D3,Q9Z1L5,CA2D3_MOUSE,Voltage-dependent calcium channel subunit alpha-2/delta-3,17790,NA,TurboID unique,NA,NA,NA
Abcg1,ABCG1,Q64343,ABCG1_MOUSE,ATP-binding cassette sub-family G member 1,17745,NA,TurboID unique,NA,NA,NA
Ca4,NA,Q64444,CAH4_MOUSE,Carbonic anhydrase 4,17708,NA,TurboID unique,NA,NA,NA
Sorbs2,SORBS2,Q3UTJ2,SRBS2_MOUSE,Sorbin and SH3 domain-containing protein 2,17613,NA,TurboID unique,NA,NA,NA
Usp54,USP54,Q8BL06,UBP54_MOUSE,Inactive ubiquitin carboxyl-terminal hydrolase 54,17595,NA,TurboID unique,NA,NA,NA
Myh14,MYH14,Q6URW6,MYH14_MOUSE,Myosin-14,17569,NA,TurboID unique,NA,NA,NA
Pitpnm3,PITPNM3,Q3UHE1,PITM3_MOUSE,Membrane-associated phosphatidylinositol transfer protein 3,17561,NA,TurboID unique,NA,NA,NA
Adra1b,ADRA1B,P97717,ADA1B_MOUSE,Alpha-1B adrenergic receptor,17544,NA,TurboID unique,NA,NA,NA
Wdr37,WDR37,Q8CBE3,WDR37_MOUSE,WD repeat-containing protein 37,17445,NA,TurboID unique,NA,NA,NA
Pdlim7,PDLIM7,Q3TJD7,PDLI7_MOUSE,PDZ and LIM domain protein 7,17407,NA,TurboID unique,NA,NA,NA
Kiaa0513,NA,Q8R0A7,K0513_MOUSE,Uncharacterized protein KIAA0513,17388,NA,TurboID unique,NA,NA,NA
Rab39b,RAB39B,Q8BHC1,RB39B_MOUSE,Ras-related protein Rab-39B,17380,NA,TurboID unique,NA,NA,NA
Hhatl,HHATL,Q9D1G3,HHATL_MOUSE,Protein-cysteine N-palmitoyltransferase HHAT-like protein,17375,NA,TurboID unique,NA,NA,NA
Agk,AGK,Q9ESW4,AGK_MOUSE,"Acylglycerol kinase, mitochondrial",17358,NA,TurboID unique,NA,NA,NA
Lancl2,LANCL2,Q9JJK2,LANC2_MOUSE,LanC-like protein 2,17341,NA,TurboID unique,NA,NA,NA
Slc6a2,SLC6A2,O55192,SC6A2_MOUSE,Sodium-dependent noradrenaline transporter,17331,NA,TurboID unique,NA,NA,NA
Jagn1,JAGN1,Q5XKN4,JAGN1_MOUSE,Protein jagunal homolog 1,17316,NA,TurboID unique,NA,NA,NA
Fam210a,FAM210A,Q8BGY7,F210A_MOUSE,Protein FAM210A,17278,NA,TurboID unique,NA,NA,NA
Acat2,ACAT2,Q8CAY6,THIC_MOUSE,"Acetyl-CoA acetyltransferase, cytosolic",17252,NA,TurboID unique,NA,NA,NA
Pdgfrb,PDGFRB,P05622,PGFRB_MOUSE,Platelet-derived growth factor receptor beta,17244,NA,TurboID unique,NA,NA,NA
Pgam5,PGAM5,Q8BX10,PGAM5_MOUSE,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",17185,NA,TurboID unique,NA,NA,NA
Eif6,EIF6,O55135,IF6_MOUSE,Eukaryotic translation initiation factor 6,17170,NA,TurboID unique,NA,NA,NA
Acsl5,ACSL5,Q8JZR0,ACSL5_MOUSE,Long-chain-fatty-acid--CoA ligase 5,17161,NA,TurboID unique,NA,NA,NA
Kiaa1109,NA,A2AAE1,K1109_MOUSE,Transmembrane protein KIAA1109,17149,NA,TurboID unique,NA,NA,NA
Pde2a,PDE2A,Q922S4,PDE2A_MOUSE,"cGMP-dependent 3',5'-cyclic phosphodiesterase",17127,NA,TurboID unique,NA,NA,NA
Uggt1,UGGT1,Q6P5E4,UGGG1_MOUSE,UDP-glucose:glycoprotein glucosyltransferase 1,17092,NA,TurboID unique,NA,NA,NA
Pdzd8,PDZD8,B9EJ80,PDZD8_MOUSE,PDZ domain-containing protein 8,17070,NA,TurboID unique,NA,NA,NA
Mtx1,MTX1,P47802,MTX1_MOUSE,Metaxin-1,17055,NA,TurboID unique,NA,NA,NA
Ano10,ANO10,Q8BH79,ANO10_MOUSE,Anoctamin-10,17034,NA,TurboID unique,NA,NA,NA
Rasa3,RASA3,Q60790,RASA3_MOUSE,Ras GTPase-activating protein 3,17032,NA,TurboID unique,NA,NA,NA
Kiaa0100,NA,Q5SYL3,K0100_MOUSE,Protein KIAA0100,16956,NA,TurboID unique,NA,NA,NA
Stxbp3,STXBP3,Q60770,STXB3_MOUSE,Syntaxin-binding protein 3,16951,NA,TurboID unique,NA,NA,NA
Capn5,CAPN5,O08688,CAN5_MOUSE,Calpain-5,16938,NA,TurboID unique,NA,NA,NA
Slc4a7,SLC4A7,Q8BTY2,S4A7_MOUSE,Sodium bicarbonate cotransporter 3,16924,NA,TurboID unique,NA,NA,NA
Afg3l2,AFG3L2,Q8JZQ2,AFG32_MOUSE,AFG3-like protein 2,16832,NA,TurboID unique,NA,NA,NA
Naxe,NAXE,Q8K4Z3,NNRE_MOUSE,NAD(P)H-hydrate epimerase,16822,NA,TurboID unique,NA,NA,NA
Ptcd2,PTCD2,Q8R3K3,PTCD2_MOUSE,"Pentatricopeptide repeat-containing protein 2, mitochondrial",16813,NA,TurboID unique,NA,NA,NA
Me3,ME3,Q8BMF3,MAON_MOUSE,"NADP-dependent malic enzyme, mitochondrial",16801,NA,TurboID unique,NA,NA,NA
Wdr48,WDR48,Q8BH57,WDR48_MOUSE,WD repeat-containing protein 48,16765,NA,TurboID unique,NA,NA,NA
Vamp7,VAMP7,P70280,VAMP7_MOUSE,Vesicle-associated membrane protein 7,16755,NA,TurboID unique,NA,NA,NA
Limd1,LIMD1,Q9QXD8,LIMD1_MOUSE,LIM domain-containing protein 1,16738,NA,TurboID unique,NA,NA,NA
Olfm2,OLFM2,Q8BM13,NOE2_MOUSE,Noelin-2,16725,NA,TurboID unique,NA,NA,NA
Vars1,NA,Q9Z1Q9,SYVC_MOUSE,Valine--tRNA ligase,16724,NA,TurboID unique,NA,NA,NA
Arl6ip1,ARL6IP1,Q9JKW0,AR6P1_MOUSE,ADP-ribosylation factor-like protein 6-interacting protein 1,16681,NA,TurboID unique,NA,NA,NA
Fbl,FBL,P35550,FBRL_MOUSE,rRNA 2'-O-methyltransferase fibrillarin,16672,NA,TurboID unique,NA,NA,NA
Capn2,CAPN2,O08529,CAN2_MOUSE,Calpain-2 catalytic subunit,16625,NA,TurboID unique,NA,NA,NA
Tank,TANK,P70347,TANK_MOUSE,TRAF family member-associated NF-kappa-B activator,16616,NA,TurboID unique,NA,NA,NA
Dip2b,DIP2B,Q3UH60,DIP2B_MOUSE,Disco-interacting protein 2 homolog B,16613,NA,TurboID unique,NA,NA,NA
Itpka,ITPKA,Q8R071,IP3KA_MOUSE,Inositol-trisphosphate 3-kinase A,16601,NA,TurboID unique,NA,NA,NA
Fkbp8,FKBP8,O35465,FKBP8_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP8,16597,NA,TurboID unique,NA,NA,NA
Acot9,ACOT9,Q9R0X4,ACOT9_MOUSE,"Acyl-coenzyme A thioesterase 9, mitochondrial",16597,NA,TurboID unique,NA,NA,NA
Lima1,LIMA1,Q9ERG0,LIMA1_MOUSE,LIM domain and actin-binding protein 1,16592,NA,TurboID unique,NA,NA,NA
Cat,CAT,P24270,CATA_MOUSE,Catalase,16590,NA,TurboID unique,NA,NA,NA
Ptpn23,PTPN23,Q6PB44,PTN23_MOUSE,Tyrosine-protein phosphatase non-receptor type 23,16584,NA,TurboID unique,NA,NA,NA
Macrod1,MACROD1,Q922B1,MACD1_MOUSE,ADP-ribose glycohydrolase MACROD1,16580,NA,TurboID unique,NA,NA,NA
Fkbp15,FKBP15,Q6P9Q6,FKB15_MOUSE,FK506-binding protein 15,16578,NA,TurboID unique,NA,NA,NA
Tmem63b,TMEM63B,Q3TWI9,CSCL2_MOUSE,CSC1-like protein 2,16570,NA,TurboID unique,NA,NA,NA
