Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein description,LPS avg abundance,PBS avg abundance,Differentially Expressed?,logFC (LPS_vs_PBS),P.Value (LPS_vs_PBS),adj.P.Value (LPS_vs_PBS)
Apoo,APOO,Q9DCZ4,MIC26_MOUSE,MICOS complex subunit Mic26,18085,18352,No,0.01,0.978271,0.999933
Apool,APOOL,Q78IK4,MIC27_MOUSE,MICOS complex subunit Mic27,9925,9950,No,0.05,0.888490,0.999933
Appl1,APPL1,Q8K3H0,DP13A_MOUSE,DCC-interacting protein 13-alpha,22953,21920,No,0.25,0.595072,0.999933
Appl2,APPL2,Q8K3G9,DP13B_MOUSE,DCC-interacting protein 13-beta,24061,22349,No,0.15,0.575419,0.999933
Aqp4,AQP4,P55088,AQP4_MOUSE,Aquaporin-4,566734,409015,No,0.46,0.085530,0.999933
Araf,ARAF,P04627,ARAF_MOUSE,Serine/threonine-protein kinase A-Raf,7696,10508,No,-0.45,0.095350,0.999933
Arap2,ARAP2,Q8BZ05,ARAP2_MOUSE,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2",5936,7586,No,-0.36,0.253082,0.999933
Arcn1,ARCN1,Q5XJY5,COPD_MOUSE,Coatomer subunit delta,5140,5443,No,-0.03,0.922832,0.999933
Arf1,ARF1,P84078,ARF1_MOUSE,ADP-ribosylation factor 1,25547,32749,No,-0.48,0.259182,0.999933
Arf2,NA,Q8BSL7,ARF2_MOUSE,ADP-ribosylation factor 2,18093,16910,No,0.15,0.711139,0.999933
Arf4,ARF4,P61750,ARF4_MOUSE,ADP-ribosylation factor 4,5858,5215,No,0.18,0.603785,0.999933
Arf5,ARF5,P84084,ARF5_MOUSE,ADP-ribosylation factor 5,34343,32042,No,0.21,0.564331,0.999933
Arfgap1,ARFGAP1,Q9EPJ9,ARFG1_MOUSE,ADP-ribosylation factor GTPase-activating protein 1,21394,22140,No,-0.04,0.885174,0.999933
Arg1,ARG1,Q61176,ARGI1_MOUSE,Arginase-1,56713,56278,No,0.22,0.677501,0.999933
Arglu1,ARGLU1,Q3UL36,ARGL1_MOUSE,Arginine and glutamate-rich protein 1,25329,19354,No,0.31,0.282712,0.999933
Arhgap1,ARHGAP1,Q5FWK3,RHG01_MOUSE,Rho GTPase-activating protein 1,8316,9177,No,-0.15,0.635895,0.999933
Arhgap12,ARHGAP12,Q8C0D4,RHG12_MOUSE,Rho GTPase-activating protein 12,5519,5952,No,-0.14,0.613012,0.999933
Arhgap21,ARHGAP21,Q6DFV3,RHG21_MOUSE,Rho GTPase-activating protein 21,23229,24122,No,-0.05,0.818549,0.999933
Arhgap23,ARHGAP23,Q69ZH9,RHG23_MOUSE,Rho GTPase-activating protein 23,8905,8917,No,-0.08,0.789654,0.999933
Arhgap26,ARHGAP26,Q6ZQ82,RHG26_MOUSE,Rho GTPase-activating protein 26,3877,3807,No,0.00,0.990511,0.999933
Arhgap31,ARHGAP31,A6X8Z5,RHG31_MOUSE,Rho GTPase-activating protein 31,3971,5286,No,-0.19,0.707810,0.999933
Arhgap32,ARHGAP32,Q811P8,RHG32_MOUSE,Rho GTPase-activating protein 32,18726,17028,No,0.16,0.483641,0.999933
Arhgap35,ARHGAP35,Q91YM2,RHG35_MOUSE,Rho GTPase-activating protein 35,12148,11581,No,0.10,0.682617,0.999933
Arhgap5,ARHGAP5,P97393,RHG05_MOUSE,Rho GTPase-activating protein 5,6363,6406,No,0.02,0.947068,0.999933
Arhgdia,ARHGDIA,Q99PT1,GDIR1_MOUSE,Rho GDP-dissociation inhibitor 1,12514,14015,No,-0.05,0.900290,0.999933
Arhgef12,ARHGEF12,Q8R4H2,ARHGC_MOUSE,Rho guanine nucleotide exchange factor 12,12473,10877,No,0.20,0.400055,0.999933
Arhgef17,ARHGEF17,Q80U35,ARHGH_MOUSE,Rho guanine nucleotide exchange factor 17,9430,8549,No,0.19,0.519229,0.999933
Arhgef18,ARHGEF18,Q6P9R4,ARHGI_MOUSE,Rho guanine nucleotide exchange factor 18,14521,10560,No,0.44,0.187867,0.999933
Arhgef2,ARHGEF2,Q60875,ARHG2_MOUSE,Rho guanine nucleotide exchange factor 2,8561,10605,No,-0.23,0.489458,0.999933
Arhgef7,ARHGEF7,Q9ES28,ARHG7_MOUSE,Rho guanine nucleotide exchange factor 7,14736,11597,No,0.35,0.363777,0.999933
Arl1,ARL1,P61211,ARL1_MOUSE,ADP-ribosylation factor-like protein 1,4806,5821,No,-0.29,0.282209,0.999933
Arl15,ARL15,Q8BGR6,ARL15_MOUSE,ADP-ribosylation factor-like protein 15,32474,31337,No,-0.01,0.978062,0.999933
Arl6ip1,ARL6IP1,Q9JKW0,AR6P1_MOUSE,ADP-ribosylation factor-like protein 6-interacting protein 1,11370,12377,No,-0.13,0.709036,0.999933
Arl6ip5,ARL6IP5,Q8R5J9,PRAF3_MOUSE,PRA1 family protein 3,160659,133184,No,0.40,0.236720,0.999933
Arl8a,ARL8A,Q8VEH3,ARL8A_MOUSE,ADP-ribosylation factor-like protein 8A,14627,15292,No,0.00,0.990738,0.999933
Arl8b,ARL8B,Q9CQW2,ARL8B_MOUSE,ADP-ribosylation factor-like protein 8B,51123,56788,No,-0.17,0.412309,0.999933
Armc10,ARMC10,Q9D0L7,ARM10_MOUSE,Armadillo repeat-containing protein 10,3647,5204,No,-0.48,0.151954,0.999933
Arpc1a,ARPC1A,Q9R0Q6,ARC1A_MOUSE,Actin-related protein 2/3 complex subunit 1A,131541,112094,No,0.25,0.271657,0.999933
Arpc1b,ARPC1B,Q9WV32,ARC1B_MOUSE,Actin-related protein 2/3 complex subunit 1B,8336,7247,No,0.18,0.468387,0.999933
Arpc2,ARPC2,Q9CVB6,ARPC2_MOUSE,Actin-related protein 2/3 complex subunit 2,12354,11423,No,0.16,0.570351,0.999933
Arpc4,ARPC4,P59999,ARPC4_MOUSE,Actin-related protein 2/3 complex subunit 4,32173,32014,No,0.04,0.907951,0.999933
Arpc5l,ARPC5L,Q9D898,ARP5L_MOUSE,Actin-related protein 2/3 complex subunit 5-like protein,12283,14260,No,-0.22,0.464764,0.999933
Arrb1,ARRB1,Q8BWG8,ARRB1_MOUSE,Beta-arrestin-1,10046,9761,No,0.07,0.765511,0.999933
Asah1,ASAH1,Q9WV54,ASAH1_MOUSE,Acid ceramidase,9812,9618,No,-0.08,0.906301,0.999933
Asap1,ASAP1,Q9QWY8,ASAP1_MOUSE,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",11240,10348,No,0.02,0.962465,0.999933
Asrgl1,ASRGL1,Q8C0M9,ASGL1_MOUSE,Isoaspartyl peptidase/L-asparaginase,16928,17622,No,-0.02,0.929404,0.999933
Ass1,ASS1,P16460,ASSY_MOUSE,Argininosuccinate synthase,15141,10569,No,0.57,0.108137,0.999933
Astn1,ASTN1,Q61137,ASTN1_MOUSE,Astrotactin-1,8558,9563,No,-0.17,0.467339,0.999933
Atad1,ATAD1,Q9D5T0,ATAD1_MOUSE,Outer mitochondrial transmembrane helix translocase,14246,13775,No,0.06,0.818356,0.999933
Atad3,NA,Q925I1,ATAD3_MOUSE,ATPase family AAA domain-containing protein 3,7165,7258,No,0.01,0.966391,0.999933
Atcay,ATCAY,Q8BHE3,ATCAY_MOUSE,Caytaxin,6882,5485,No,0.32,0.363762,0.999933
Atg2b,ATG2B,Q80XK6,ATG2B_MOUSE,Autophagy-related protein 2 homolog B,7122,5255,No,0.43,0.068400,0.999933
Atg9a,ATG9A,Q68FE2,ATG9A_MOUSE,Autophagy-related protein 9A,10337,10094,No,0.04,0.890127,0.999933
Atl1,ATL1,Q8BH66,ATLA1_MOUSE,Atlastin-1,41421,37277,No,0.16,0.614057,0.999933
Atl2,ATL2,Q6PA06,ATLA2_MOUSE,Atlastin-2,7007,9646,No,-0.51,0.054242,0.999933
Atl3,ATL3,Q91YH5,ATLA3_MOUSE,Atlastin-3,4466,5352,No,-0.22,0.491490,0.999933
Atp11b,ATP11B,Q6DFW5,AT11B_MOUSE,Phospholipid-transporting ATPase IF,39480,40330,No,0.14,0.746864,0.999933
Atp11c,ATP11C,Q9QZW0,AT11C_MOUSE,Phospholipid-transporting ATPase 11C,5025,5716,No,-0.18,0.499994,0.999933
Atp13a1,ATP13A1,Q9EPE9,AT131_MOUSE,Endoplasmic reticulum transmembrane helix translocase,16846,16030,No,0.09,0.672598,0.999933
Atp1a1,ATP1A1,Q8VDN2,AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1,868253,965993,No,-0.16,0.546600,0.999933
Atp1a2,ATP1A2,Q6PIE5,AT1A2_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-2,617798,655840,No,-0.06,0.816942,0.999933
Atp1a3,ATP1A3,Q6PIC6,AT1A3_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-3,3017886,3310300,No,-0.07,0.832615,0.999933
Atp1a4,ATP1A4,Q9WV27,AT1A4_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-4,25019,55138,No,-0.67,0.235237,0.999933
Atp1b1,ATP1B1,P14094,AT1B1_MOUSE,Sodium/potassium-transporting ATPase subunit beta-1,1027405,1152225,No,-0.13,0.615737,0.999933
Atp1b2,ATP1B2,P14231,AT1B2_MOUSE,Sodium/potassium-transporting ATPase subunit beta-2,39949,49421,No,-0.30,0.243533,0.999933
Atp1b3,ATP1B3,P97370,AT1B3_MOUSE,Sodium/potassium-transporting ATPase subunit beta-3,12033,13636,No,-0.14,0.636879,0.999933
Atp2a2,ATP2A2,O55143,AT2A2_MOUSE,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,110596,113478,No,-0.01,0.968848,0.999933
Atp2a3,ATP2A3,Q64518,AT2A3_MOUSE,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,5632,5273,No,0.06,0.900981,0.999933
Atp2b1,ATP2B1,G5E829,AT2B1_MOUSE,Plasma membrane calcium-transporting ATPase 1,331880,320245,No,0.09,0.710936,0.999933
Atp2b2,ATP2B2,Q9R0K7,AT2B2_MOUSE,Plasma membrane calcium-transporting ATPase 2,437518,436219,No,0.02,0.932284,0.999933
Atp2b4,ATP2B4,Q6Q477,AT2B4_MOUSE,Plasma membrane calcium-transporting ATPase 4,86831,81858,No,0.12,0.649966,0.999933
Atp2c1,ATP2C1,Q80XR2,AT2C1_MOUSE,Calcium-transporting ATPase type 2C member 1,3967,4936,No,-0.32,0.244182,0.999933
Atp4a,ATP4A,Q64436,ATP4A_MOUSE,Potassium-transporting ATPase alpha chain 1,276510,200315,No,0.45,0.478037,0.999933
Atp5f1a,NA,Q03265,ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial",574058,511026,No,0.18,0.463141,0.999933
Atp5f1b,NA,P56480,ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial",106983,135595,No,-0.32,0.180389,0.999933
Atp5f1c,NA,Q91VR2,ATPG_MOUSE,"ATP synthase subunit gamma, mitochondrial",113414,105915,No,0.10,0.709603,0.999933
Atp5f1d,NA,Q9D3D9,ATPD_MOUSE,"ATP synthase subunit delta, mitochondrial",12169,14826,No,-0.26,0.556679,0.999933
Atp5f1e,NA,P56382,ATP5E_MOUSE,"ATP synthase subunit epsilon, mitochondrial",64442,57801,No,0.12,0.599280,0.999933
Atp5if1,NA,O35143,ATIF1_MOUSE,"ATPase inhibitor, mitochondrial",18041,24699,No,-0.33,0.460490,0.999933
Atp5me,NA,Q06185,ATP5I_MOUSE,"ATP synthase subunit e, mitochondrial",23524,29797,No,-0.35,0.248074,0.999933
Atp5mf,NA,P56135,ATPK_MOUSE,"ATP synthase subunit f, mitochondrial",87605,123972,No,-0.62,0.129774,0.999933
Atp5mg,NA,Q9CPQ8,ATP5L_MOUSE,"ATP synthase subunit g, mitochondrial",44737,52329,No,-0.28,0.316902,0.999933
Atp5mj,NA,P56379,ATP68_MOUSE,"ATP synthase subunit ATP5MJ, mitochondrial",17092,21367,No,-0.41,0.329750,0.999933
Atp5mk,NA,Q78IK2,ATPMK_MOUSE,"ATP synthase membrane subunit K, mitochondrial",29214,27920,No,0.05,0.908687,0.999933
Atp5pb,NA,Q9CQQ7,AT5F1_MOUSE,"ATP synthase F(0) complex subunit B1, mitochondrial",81432,89291,No,-0.17,0.538148,0.999933
Atp5pd,NA,Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial",32842,34537,No,-0.02,0.967747,0.999933
Atp5pf,NA,P97450,ATP5J_MOUSE,"ATP synthase-coupling factor 6, mitochondrial",13160,16416,No,-0.12,0.806442,0.999933
Atp5po,NA,Q9DB20,ATPO_MOUSE,"ATP synthase subunit O, mitochondrial",54166,59357,No,-0.13,0.645884,0.999933
Atp6ap1,ATP6AP1,Q9R1Q9,VAS1_MOUSE,V-type proton ATPase subunit S1,10409,5899,No,0.29,0.653745,0.999933
Atp6v0a1,ATP6V0A1,Q9Z1G4,VPP1_MOUSE,V-type proton ATPase 116 kDa subunit a1,657093,563274,No,0.22,0.348780,0.999933
Atp6v0c,ATP6V0C,P63082,VATL_MOUSE,V-type proton ATPase 16 kDa proteolipid subunit,44126,45461,No,0.01,0.981201,0.999933
Atp6v0d1,ATP6V0D1,P51863,VA0D1_MOUSE,V-type proton ATPase subunit d 1,56747,44941,No,0.34,0.332622,0.999933
Atp6v1a,ATP6V1A,P50516,VATA_MOUSE,V-type proton ATPase catalytic subunit A,32529,31678,No,0.05,0.837215,0.999933
Atp6v1b2,ATP6V1B2,P62814,VATB2_MOUSE,"V-type proton ATPase subunit B, brain isoform",69365,65476,No,0.09,0.689191,0.999933
Atp6v1c1,ATP6V1C1,Q9Z1G3,VATC1_MOUSE,V-type proton ATPase subunit C 1,17693,18966,No,-0.08,0.739613,0.999933
Atp6v1e1,ATP6V1E1,P50518,VATE1_MOUSE,V-type proton ATPase subunit E 1,20274,23900,No,-0.14,0.655621,0.999933
Atp6v1g2,ATP6V1G2,Q9WTT4,VATG2_MOUSE,V-type proton ATPase subunit G 2,7673,7708,No,0.23,0.610577,0.999933
Atp6v1h,ATP6V1H,Q8BVE3,VATH_MOUSE,V-type proton ATPase subunit H,72193,75004,No,-0.06,0.781528,0.999933
Atp7a,ATP7A,Q64430,ATP7A_MOUSE,Copper-transporting ATPase 1,10118,7543,No,0.44,0.114803,0.999933
Atp8a1,ATP8A1,P70704,AT8A1_MOUSE,Phospholipid-transporting ATPase IA,71228,68348,No,0.06,0.754804,0.999933
Atp8a2,ATP8A2,P98200,AT8A2_MOUSE,Phospholipid-transporting ATPase IB,8932,8868,No,-0.01,0.968847,0.999933
Atp9a,ATP9A,O70228,ATP9A_MOUSE,Probable phospholipid-transporting ATPase IIA,29466,28236,No,0.07,0.713356,0.999933
Atp9b,ATP9B,P98195,ATP9B_MOUSE,Probable phospholipid-transporting ATPase IIB,9241,8653,No,0.11,0.617696,0.999933
Atpaf1,ATPAF1,Q811I0,ATPF1_MOUSE,ATP synthase mitochondrial F1 complex assembly factor 1,6226,6876,No,-0.32,0.509684,0.999933
Atrn,ATRN,Q9WU60,ATRN_MOUSE,Attractin,6328,5859,No,0.15,0.555582,0.999933
Atxn2l,ATXN2L,Q7TQH0,ATX2L_MOUSE,Ataxin-2-like protein,12427,17558,No,-0.39,0.243808,0.999933
Auh,AUH,Q9JLZ3,AUHM_MOUSE,"Methylglutaconyl-CoA hydratase, mitochondrial",16354,16281,No,-0.02,0.935064,0.999933
Avl9,AVL9,Q80U56,AVL9_MOUSE,Late secretory pathway protein AVL9 homolog,8170,6618,No,0.07,0.880005,0.999933
Baalc,BAALC,Q8VHV1,BAALC_MOUSE,Brain and acute leukemia cytoplasmic protein,7870,8473,No,-0.06,0.859610,0.999933
Bag3,BAG3,Q9JLV1,BAG3_MOUSE,BAG family molecular chaperone regulator 3,4406,15808,No,-1.20,0.080695,0.999933
Baiap2,BAIAP2,Q8BKX1,BAIP2_MOUSE,Brain-specific angiogenesis inhibitor 1-associated protein 2,10950,10093,No,0.11,0.617352,0.999933
Basp1,BASP1,Q91XV3,BASP1_MOUSE,Brain acid soluble protein 1,37668,43245,No,-0.18,0.628880,0.999933
Bcan,BCAN,Q61361,PGCB_MOUSE,Brevican core protein,27253,28219,No,-0.07,0.802850,0.999933
Bcap31,BCAP31,Q61335,BAP31_MOUSE,B-cell receptor-associated protein 31,11518,7860,No,0.54,0.178743,0.999933
Bcar1,BCAR1,Q61140,BCAR1_MOUSE,Breast cancer anti-estrogen resistance protein 1,7271,6265,No,0.34,0.431134,0.999933
Bcas1,BCAS1,Q80YN3,BCAS1_MOUSE,Breast carcinoma-amplified sequence 1 homolog,12123,13019,No,-0.11,0.624574,0.999933
Bcas3,BCAS3,Q8CCN5,BCAS3_MOUSE,BCAS3 microtubule associated cell migration factor,10961,10047,No,0.13,0.549084,0.999933
Bcr,BCR,Q6PAJ1,BCR_MOUSE,Breakpoint cluster region protein,11318,9824,No,0.23,0.308375,0.999933
Bcs1l,BCS1L,Q9CZP5,BCS1_MOUSE,Mitochondrial chaperone BCS1,13428,11961,No,0.16,0.589608,0.999933
Bdh1,BDH1,Q80XN0,BDH_MOUSE,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",18906,17623,No,0.21,0.507123,0.999933
Begain,BEGAIN,Q68EF6,BEGIN_MOUSE,Brain-enriched guanylate kinase-associated protein,9022,8220,No,0.20,0.504074,0.999933
Bin1,BIN1,O08539,BIN1_MOUSE,Myc box-dependent-interacting protein 1,9364,9294,No,0.02,0.930132,0.999933
Birc6,BIRC6,O88738,BIRC6_MOUSE,Baculoviral IAP repeat-containing protein 6,34954,35317,No,0.03,0.915926,0.999933
Blmh,BLMH,Q8R016,BLMH_MOUSE,Bleomycin hydrolase,27834,35697,No,-0.16,0.769377,0.999933
Bmp2k,BMP2K,Q91Z96,BMP2K_MOUSE,BMP-2-inducible protein kinase,8844,7013,No,0.32,0.199243,0.999933
Bmpr2,BMPR2,O35607,BMPR2_MOUSE,Bone morphogenetic protein receptor type-2,7824,7776,No,0.08,0.798905,0.999933
Borcs5,BORCS5,Q9D920,BORC5_MOUSE,BLOC-1-related complex subunit 5,7326,9117,No,-0.34,0.275017,0.999933
Bphl,BPHL,Q8R164,BPHL_MOUSE,Valacyclovir hydrolase,5110,6817,No,-0.48,0.226123,0.999933
Bpnt1,BPNT1,Q9Z0S1,BPNT1_MOUSE,"3'(2'),5'-bisphosphate nucleotidase 1",6782,6217,No,0.08,0.793903,0.999933
Braf,BRAF,P28028,BRAF_MOUSE,Serine/threonine-protein kinase B-raf,7215,6551,No,0.22,0.503520,0.999933
Brcc3,BRCC3,P46737,BRCC3_MOUSE,Lys-63-specific deubiquitinase BRCC36,5183,5696,No,-0.17,0.615309,0.999933
Bri3bp,BRI3BP,Q8BXV2,BRI3B_MOUSE,BRI3-binding protein,8454,9020,No,-0.19,0.641053,0.999933
Brinp1,BRINP1,Q920P3,BRNP1_MOUSE,BMP/retinoic acid-inducible neural-specific protein 1,8824,7271,No,0.32,0.324648,0.999933
Brsk2,BRSK2,Q69Z98,BRSK2_MOUSE,Serine/threonine-protein kinase BRSK2,13092,6955,No,0.63,0.445611,0.999933
Bscl2,BSCL2,Q9Z2E9,BSCL2_MOUSE,Seipin,6039,7249,No,-0.30,0.283871,0.999933
Bsg,BSG,P18572,BASI_MOUSE,Basigin,18409,17851,No,-0.01,0.977341,0.999933
Bsn,BSN,O88737,BSN_MOUSE,Protein bassoon,17617,14606,No,0.27,0.209015,0.999933
C1qb,C1QB,P14106,C1QB_MOUSE,Complement C1q subcomponent subunit B,6906,4708,No,0.59,0.094405,0.999933
C1qc,C1QC,Q02105,C1QC_MOUSE,Complement C1q subcomponent subunit C,17633,13263,No,0.40,0.247521,0.999933
C2cd2,C2CD2,E9Q3C1,C2CD2_MOUSE,C2 domain-containing protein 2,5957,5293,No,0.19,0.405331,0.999933
C2cd2l,C2CD2L,Q80X80,C2C2L_MOUSE,Phospholipid transfer protein C2CD2L,9106,9767,No,-0.09,0.745530,0.999933
C2cd5,C2CD5,Q7TPS5,C2CD5_MOUSE,C2 domain-containing protein 5,13558,12171,No,0.16,0.505877,0.999933
C3,C3,P01027,CO3_MOUSE,Complement C3,7913,6216,No,0.39,0.494723,0.999933
Ca2,NA,P00920,CAH2_MOUSE,Carbonic anhydrase 2,17748,27185,No,-0.69,0.141513,0.999933
Ca4,NA,Q64444,CAH4_MOUSE,Carbonic anhydrase 4,6308,13666,No,-0.63,0.244896,0.999933
Cables2,CABLES2,Q8K3M5,CABL2_MOUSE,CDK5 and ABL1 enzyme substrate 2,1748,2705,No,-0.62,0.051971,0.999933
Cacna1a,CACNA1A,P97445,CAC1A_MOUSE,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,26422,24578,No,0.11,0.659617,0.999933
Cacna1b,CACNA1B,O55017,CAC1B_MOUSE,Voltage-dependent N-type calcium channel subunit alpha-1B,13219,13349,No,-0.03,0.905745,0.999933
Cacna1c,CACNA1C,Q01815,CAC1C_MOUSE,Voltage-dependent L-type calcium channel subunit alpha-1C,6795,6425,No,0.15,0.603543,0.999933
Cacna1e,CACNA1E,Q61290,CAC1E_MOUSE,Voltage-dependent R-type calcium channel subunit alpha-1E,27398,27588,No,-0.01,0.967957,0.999933
Cacna2d1,CACNA2D1,O08532,CA2D1_MOUSE,Voltage-dependent calcium channel subunit alpha-2/delta-1,13140,12948,No,-0.01,0.967348,0.999933
Cacna2d3,CACNA2D3,Q9Z1L5,CA2D3_MOUSE,Voltage-dependent calcium channel subunit alpha-2/delta-3,12845,13111,No,-0.01,0.958284,0.999933
Cacnb4,CACNB4,Q8R0S4,CACB4_MOUSE,Voltage-dependent L-type calcium channel subunit beta-4,9950,7314,No,0.45,0.061461,0.999933
Cacng2,CACNG2,O88602,CCG2_MOUSE,Voltage-dependent calcium channel gamma-2 subunit,63202,73218,No,-0.21,0.433123,0.999933
Cacng3,CACNG3,Q9JJV5,CCG3_MOUSE,Voltage-dependent calcium channel gamma-3 subunit,67949,72494,No,-0.07,0.818227,0.999933
Cacng7,CACNG7,P62956,CCG7_MOUSE,Voltage-dependent calcium channel gamma-7 subunit,9979,10224,No,0.00,0.995466,0.999933
Cacng8,CACNG8,Q8VHW2,CCG8_MOUSE,Voltage-dependent calcium channel gamma-8 subunit,66918,63662,No,0.05,0.895010,0.999933
Cad,CAD,B2RQC6,PYR1_MOUSE,CAD protein,5790,4251,No,0.44,0.176828,0.999933
Cadm1,CADM1,Q8R5M8,CADM1_MOUSE,Cell adhesion molecule 1,12155,13585,No,-0.14,0.637138,0.999933
Cadm2,CADM2,Q8BLQ9,CADM2_MOUSE,Cell adhesion molecule 2,20651,25474,No,-0.32,0.151924,0.999933
Cadm3,CADM3,Q99N28,CADM3_MOUSE,Cell adhesion molecule 3,12014,14700,No,-0.33,0.384352,0.999933
Cadm4,CADM4,Q8R464,CADM4_MOUSE,Cell adhesion molecule 4,154001,143219,No,0.07,0.838677,0.999933
Cadps,CADPS,Q80TJ1,CAPS1_MOUSE,Calcium-dependent secretion activator 1,30015,27262,No,0.12,0.678118,0.999933
Cadps2,CADPS2,Q8BYR5,CAPS2_MOUSE,Calcium-dependent secretion activator 2,10397,8286,No,0.29,0.314650,0.999933
Calb2,CALB2,Q08331,CALB2_MOUSE,Calretinin,11303,8824,No,0.57,0.350244,0.999933
Calr,CALR,P14211,CALR_MOUSE,Calreticulin,13119,14950,No,-0.15,0.519901,0.999933
Camk2a,CAMK2A,P11798,KCC2A_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit alpha,92298,69142,No,0.45,0.179137,0.999933
Camk2b,CAMK2B,P28652,KCC2B_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit beta,39450,30188,No,0.40,0.158273,0.999933
Camk2d,CAMK2D,Q6PHZ2,KCC2D_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit delta,12610,8689,No,0.43,0.235415,0.999933
Camk2g,CAMK2G,Q923T9,KCC2G_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit gamma,13592,11102,No,0.37,0.187965,0.999933
Camkv,CAMKV,Q3UHL1,CAMKV_MOUSE,CaM kinase-like vesicle-associated protein,31098,30426,No,0.01,0.967726,0.999933
Camlg,NA,P49070,CAMLG_MOUSE,Guided entry of tail-anchored proteins factor CAMLG,9191,9496,No,-0.02,0.947893,0.999933
Camsap2,CAMSAP2,Q8C1B1,CAMP2_MOUSE,Calmodulin-regulated spectrin-associated protein 2,41571,31396,No,0.24,0.619557,0.999933
Cand1,CAND1,Q6ZQ38,CAND1_MOUSE,Cullin-associated NEDD8-dissociated protein 1,6251,6971,No,-0.09,0.800458,0.999933
Canx,CANX,P35564,CALX_MOUSE,Calnexin,26908,22034,No,0.29,0.356949,0.999933
Cap1,CAP1,P40124,CAP1_MOUSE,Adenylyl cyclase-associated protein 1,27683,21454,No,0.35,0.143368,0.999933
Cap2,CAP2,Q9CYT6,CAP2_MOUSE,Adenylyl cyclase-associated protein 2,18410,16969,No,0.15,0.553574,0.999933
Capn1,CAPN1,O35350,CAN1_MOUSE,Calpain-1 catalytic subunit,7206,4731,No,0.84,0.111689,0.999933
Capn2,CAPN2,O08529,CAN2_MOUSE,Calpain-2 catalytic subunit,11940,12229,No,0.01,0.977605,0.999933
Capn5,CAPN5,O08688,CAN5_MOUSE,Calpain-5,15207,12441,No,0.29,0.306126,0.999933
Capns1,CAPNS1,O88456,CPNS1_MOUSE,Calpain small subunit 1,5119,6033,No,-0.16,0.654116,0.999933
Capza2,CAPZA2,P47754,CAZA2_MOUSE,F-actin-capping protein subunit alpha-2,25232,21774,No,0.22,0.416097,0.999933
Capzb,CAPZB,P47757,CAPZB_MOUSE,F-actin-capping protein subunit beta,30554,27423,No,0.14,0.530908,0.999933
Carmil1,CARMIL1,Q6EDY6,CARL1_MOUSE,F-actin-uncapping protein LRRC16A,7995,7746,No,0.10,0.779650,0.999933
Cask,CASK,O70589,CSKP_MOUSE,Peripheral plasma membrane protein CASK,23616,23267,No,0.03,0.885014,0.999933
Caskin1,CASKIN1,Q6P9K8,CSKI1_MOUSE,Caskin-1,19833,19566,No,0.04,0.856518,0.999933
Cat,CAT,P04040,CATA_HUMAN,Catalase,4570,12879,No,-0.92,0.112530,0.999933
Cav1,CAV1,P49817,CAV1_MOUSE,Caveolin-1,28206,27872,No,0.01,0.977458,0.999933
Cav2,CAV2,Q9WVC3,CAV2_MOUSE,Caveolin-2,6485,9589,No,-0.59,0.128529,0.999933
Cbln4,CBLN4,Q8BME9,CBLN4_MOUSE,Cerebellin-4,8186,8301,No,-0.02,0.932984,0.999933
Cbr1,CBR1,P48758,CBR1_MOUSE,Carbonyl reductase [NADPH] 1,6019,6607,No,-0.07,0.896350,0.999933
Cc2d1a,CC2D1A,Q8K1A6,C2D1A_MOUSE,Coiled-coil and C2 domain-containing protein 1A,10408,9722,No,-0.05,0.921197,0.999933
Cc2d1b,CC2D1B,Q8BRN9,C2D1B_MOUSE,Coiled-coil and C2 domain-containing protein 1B,19055,23894,No,-0.18,0.658416,0.999933
Ccdc88a,CCDC88A,Q5SNZ0,GRDN_MOUSE,Girdin,14412,14653,No,0.00,0.988096,0.999933
Ccdc88b,CCDC88B,Q4QRL3,CC88B_MOUSE,Coiled-coil domain-containing protein 88B,44064,38501,No,0.23,0.626525,0.999933
Cct2,CCT2,P80314,TCPB_MOUSE,T-complex protein 1 subunit beta,8790,8292,No,0.10,0.731498,0.999933
Cct3,CCT3,P80318,TCPG_MOUSE,T-complex protein 1 subunit gamma,9981,7271,No,0.33,0.331449,0.999933
Cct4,CCT4,P80315,TCPD_MOUSE,T-complex protein 1 subunit delta,12470,14835,No,-0.26,0.272775,0.999933
